input_n,data_in,output_n,data_out
5,392,0,0
9,704,1,0
13,1013,2,0
17,1319,3,0
21,1619,4,0
25,1913,5,0
29,2199,6,0
33,2477,7,0
37,2745,8,6
41,3002,9,99
45,3247,10,354
49,3479,11,664
53,3698,12,974
57,3902,13,1279
61,4090,14,1580
65,4263,15,1875
69,4418,16,2161
73,4557,17,2440
77,4677,18,2709
81,4778,19,2967
85,4861,20,3214
89,4925,21,3448
93,4969,22,3668
97,4994,23,3874
101,4999,24,4064
105,4984,25,4238
109,4950,26,4396
113,4896,27,4536
117,4822,28,4659
121,4730,29,4763
125,4619,30,4848
129,4490,31,4914
133,4343,32,4960
137,4179,33,4988
141,3998,34,4995
145,3802,35,4983
149,3590,36,4951
153,3365,37,4899
157,3126,38,4828
161,2875,39,4738
165,2612,40,4630
169,2339,41,4503
173,2057,42,4358
177,1767,43,4196
181,1470,44,4018
185,1167,45,3824
189,859,46,3614
193,548,47,3390
197,235,48,3154
201,-78,49,2904
205,-392,50,2643
209,-704,51,2371
213,-1013,52,2091
217,-1319,53,1802
221,-1619,54,1506
225,-1913,55,1203
229,-2199,56,896
233,-2477,57,586
237,-2745,58,274
241,-3002,59,-40
245,-3247,60,-353
249,-3479,61,-665
253,-3698,62,-975
257,-3902,63,-1280
261,-4090,64,-1581
265,-4263,65,-1876
269,-4418,66,-2162
273,-4557,67,-2441
277,-4677,68,-2710
281,-4778,69,-2968
285,-4861,70,-3215
289,-4925,71,-3449
293,-4969,72,-3669
297,-4994,73,-3875
301,-4999,74,-4065
305,-4984,75,-4239
309,-4950,76,-4397
313,-4896,77,-4537
317,-4822,78,-4660
321,-4730,79,-4764
325,-4619,80,-4849
329,-4490,81,-4915
333,-4343,82,-4961
337,-4179,83,-4989
341,-3998,84,-4996
345,-3802,85,-4984
349,-3590,86,-4952
353,-3365,87,-4900
357,-3126,88,-4829
361,-2875,89,-4739
365,-2612,90,-4631
369,-2339,91,-4504
373,-2057,92,-4359
377,-1767,93,-4197
381,-1470,94,-4019
385,-1167,95,-3825
389,-859,96,-3615
393,-548,97,-3391
397,-235,98,-3155
401,78,99,-2905
405,392,100,-2644
409,704,101,-2372
413,1013,102,-2091
417,1319,103,-1803
421,1619,104,-1507
425,1913,105,-1204
429,2199,106,-897
433,2477,107,-587
437,2745,108,-275
441,3002,109,39
445,3247,110,352
449,3479,111,664
453,3698,112,974
457,3902,113,1279
461,4090,114,1580
465,4263,115,1875
469,4418,116,2161
473,4557,117,2440
477,4677,118,2709
481,4778,119,2967
485,4861,120,3214
489,4925,121,3448
493,4969,122,3668
497,4994,123,3874
501,4999,124,4064
505,4984,125,4238
509,4950,126,4396
513,4896,127,4536
517,4822,128,4659
521,4730,129,4763
525,4619,130,4848
529,4490,131,4914
533,4343,132,4960
537,4179,133,4988
541,3998,134,4995
545,3802,135,4983
549,3590,136,4951
553,3365,137,4899
557,3126,138,4828
561,2875,139,4738
565,2612,140,4630
569,2339,141,4503
573,2057,142,4358
577,1767,143,4196
581,1470,144,4018
585,1167,145,3824
