sample,data_in,data_out
0,0,0
1,627,0
2,1253,0
3,1873,0
4,2486,2
5,3090,1
6,3681,3
7,4257,6
8,4817,0
9,5358,7
10,5877,11
11,6374,-5
12,6845,15
13,7289,14
14,7705,-17
15,8090,40
16,8443,4
17,8763,-69
18,9048,486
19,9297,1667
20,9510,2806
21,9685,3839
22,9822,4947
23,9921,6006
24,9980,7018
25,10000,8038
26,9980,9008
27,9921,9939
28,9822,10844
29,9685,11697
30,9510,12505
31,9297,13267
32,9048,13974
33,8763,14626
34,8443,15221
35,8090,15756
36,7705,16229
37,7289,16637
38,6845,16981
39,6374,17257
40,5877,17465
41,5358,17605
42,4817,17675
43,4257,17675
44,3681,17605
45,3090,17465
46,2486,17257
47,1873,16981
48,1253,16637
49,627,16229
50,0,15756
51,-627,15221
52,-1253,14626
53,-1873,13973
54,-2486,13264
55,-3090,12503
56,-3681,11694
57,-4257,10838
58,-4817,9939
59,-5358,9001
60,-5877,8027
61,-6374,7022
62,-6845,5990
63,-7289,4932
64,-7705,3856
65,-8090,2765
66,-8443,1663
67,-8763,554
68,-9048,-555
69,-9297,-1664
70,-9510,-2766
71,-9685,-3857
72,-9822,-4933
73,-9921,-5991
74,-9980,-7023
75,-10000,-8028
76,-9980,-9002
77,-9921,-9940
78,-9822,-10839
79,-9685,-11695
80,-9510,-12504
81,-9297,-13265
82,-9048,-13974
83,-8763,-14627
84,-8443,-15222
85,-8090,-15757
86,-7705,-16230
87,-7289,-16638
88,-6845,-16982
89,-6374,-17258
90,-5877,-17466
91,-5358,-17606
92,-4817,-17676
93,-4257,-17676
94,-3681,-17606
95,-3090,-17466
96,-2486,-17258
97,-1873,-16982
98,-1253,-16638
99,-627,-16230
100,0,-15757
101,627,-15222
102,1253,-14627
103,1873,-13974
104,2486,-13265
105,3090,-12504
106,3681,-11695
107,4257,-10839
108,4817,-9940
109,5358,-9002
110,5877,-8028
111,6374,-7023
112,6845,-5991
113,7289,-4933
114,7705,-3857
115,8090,-2766
116,8443,-1664
117,8763,-555
118,9048,554
119,9297,1663
120,9510,2765
121,9685,3856
122,9822,4932
123,9921,5990
124,9980,7022
125,10000,8027
126,9980,9001
127,9921,9939
128,9822,10838
129,9685,11694
130,9510,12503
131,9297,13264
132,9048,13973
133,8763,14626
134,8443,15221
135,8090,15756
136,7705,16229
137,7289,16637
138,6845,16981
139,6374,17257
140,5877,17465
141,5358,17605
142,4817,17675
143,4257,17675
144,3681,17605
145,3090,17465
146,2486,17257
147,1873,16981
148,1253,16637
149,627,16229
150,0,15756
151,-627,15221
152,-1253,14626
153,-1873,13973
154,-2486,13264
155,-3090,12503
156,-3681,11694
157,-4257,10838
158,-4817,9939
159,-5358,9001
160,-5877,8027
161,-6374,7022
162,-6845,5990
163,-7289,4932
164,-7705,3856
165,-8090,2765
166,-8443,1663
167,-8763,554
168,-9048,-555
169,-9297,-1664
170,-9510,-2766
171,-9685,-3857
172,-9822,-4933
173,-9921,-5991
174,-9980,-7023
175,-9999,-8028
176,-9980,-9002
177,-9921,-9940
178,-9822,-10839
179,-9685,-11695
180,-9510,-12504
181,-9297,-13265
182,-9048,-13974
183,-8763,-14627
184,-8443,-15222
185,-8090,-15757
186,-7705,-16230
187,-7289,-16638
188,-6845,-16982
189,-6374,-17258
190,-5877,-17467
191,-5358,-17607
192,-4817,-17675
193,-4257,-17675
194,-3681,-17607
195,-3090,-17467
196,-2486,-17258
197,-1873,-16982
198,-1253,-16638
199,-627,-16230
200,0,-15757
201,627,-15222
202,1253,-14627
203,1873,-13974
204,2486,-13265
205,3090,-12504
206,3681,-11695
207,4257,-10839
208,4817,-9940
209,5358,-9002
210,5877,-8028
211,6374,-7023
212,6845,-5991
213,7289,-4933
214,7705,-3857
215,8090,-2766
216,8443,-1664
217,8763,-555
218,9048,554
219,9297,1663
220,9510,2765
221,9685,3856
222,9822,4932
223,9921,5990
224,9980,7022
225,9999,8027
226,9980,9001
227,9921,9939
228,9822,10838
229,9685,11694
230,9510,12503
231,9297,13264
232,9048,13973
233,8763,14626
234,8443,15221
235,8090,15756
236,7705,16229
237,7289,16637
238,6845,16981
239,6374,17257
240,5877,17466
241,5358,17606
242,4817,17674
243,4257,17674
244,3681,17606
245,3090,17466
246,2486,17257
247,1873,16981
248,1253,16637
249,627,16229
250,0,15756
251,-627,15221
252,-1253,14626
253,-1873,13973
254,-2486,13264
255,-3090,12503
256,-3681,11694
257,-4257,10838
258,-4817,9939
259,-5358,9001
260,-5877,8027
261,-6374,7022
262,-6845,5990
263,-7289,4932
264,-7705,3856
265,-8090,2765
266,-8443,1663
267,-8763,554
268,-9048,-555
269,-9297,-1664
270,-9510,-2766
271,-9685,-3857
272,-9822,-4933
273,-9921,-5991
274,-9980,-7023
275,-9999,-8028
276,-9980,-9002
277,-9921,-9940
278,-9822,-10839
279,-9685,-11695
280,-9510,-12504
281,-9297,-13265
282,-9048,-13974
283,-8763,-14627
284,-8443,-15222
285,-8090,-15757
286,-7705,-16230
287,-7289,-16638
288,-6845,-16982
289,-6374,-17258
290,-5877,-17467
291,-5358,-17607
292,-4817,-17675
293,-4257,-17675
294,-3681,-17607
295,-3090,-17467
296,-2486,-17258
297,-1873,-16982
298,-1253,-16638
299,-627,-16230
300,0,-15757
301,627,-15222
302,1253,-14627
303,1873,-13974
304,2486,-13265
305,3090,-12504
306,3681,-11695
307,4257,-10839
308,4817,-9940
309,5358,-9002
310,5877,-8028
311,6374,-7023
312,6845,-5991
313,7289,-4933
314,7705,-3857
315,8090,-2766
316,8443,-1664
317,8763,-555
318,9048,554
319,9297,1663
320,9510,2765
321,9685,3856
322,9822,4932
323,9921,5990
324,9980,7022
325,9999,8027
326,9980,9001
327,9921,9939
328,9822,10838
329,9685,11694
330,9510,12503
331,9297,13264
332,9048,13973
333,8763,14626
334,8443,15221
335,8090,15756
336,7705,16229
337,7289,16637
338,6845,16981
339,6374,17257
340,5877,17466
341,5358,17606
342,4817,17674
343,4257,17674
344,3681,17606
345,3090,17466
346,2486,17257
347,1873,16981
348,1253,16637
349,627,16229
350,0,15756
351,-627,15221
352,-1253,14626
353,-1873,13973
354,-2486,13264
355,-3090,12503
356,-3681,11694
357,-4257,10838
358,-4817,9939
359,-5358,9001
360,-5877,8027
361,-6374,7022
362,-6845,5990
363,-7289,4932
364,-7705,3856
365,-8090,2765
366,-8443,1663
367,-8763,554
368,-9048,-555
369,-9297,-1664
370,-9510,-2766
371,-9685,-3857
372,-9822,-4933
373,-9921,-5991
374,-9980,-7023
375,-9999,-8028
376,-9980,-9002
377,-9921,-9940
378,-9822,-10839
379,-9685,-11695
380,-9510,-12504
381,-9297,-13265
382,-9048,-13974
383,-8763,-14627
384,-8443,-15222
385,-8090,-15757
386,-7705,-16230
387,-7289,-16638
388,-6845,-16982
389,-6374,-17258
390,-5877,-17467
391,-5358,-17607
392,-4817,-17675
393,-4257,-17675
394,-3681,-17607
395,-3090,-17467
396,-2486,-17258
397,-1873,-16982
398,-1253,-16638
399,-627,-16230
400,0,-15757
401,627,-15222
402,1253,-14627
403,1873,-13974
404,2486,-13265
405,3090,-12504
406,3681,-11695
407,4257,-10839
408,4817,-9940
409,5358,-9002
410,5877,-8028
411,6374,-7023
412,6845,-5991
413,7289,-4933
414,7705,-3857
415,8090,-2766
416,8443,-1664
417,8763,-555
418,9048,554
419,9297,1663
420,9510,2765
421,9685,3856
422,9822,4932
423,9921,5990
424,9980,7022
425,9999,8027
426,9980,9001
427,9921,9939
428,9822,10838
429,9685,11694
430,9510,12503
431,9297,13264
432,9048,13973
433,8763,14626
434,8443,15221
435,8090,15756
436,7705,16229
437,7289,16637
438,6845,16981
439,6374,17257
440,5877,17466
441,5358,17606
442,4817,17674
443,4257,17674
444,3681,17606
445,3090,17466
446,2486,17257
447,1873,16981
448,1253,16637
449,627,16229
450,0,15756
451,-627,15221
452,-1253,14626
453,-1873,13973
454,-2486,13264
455,-3090,12503
456,-3681,11694
457,-4257,10838
458,-4817,9939
459,-5358,9001
460,-5877,8027
461,-6374,7022
462,-6845,5990
463,-7289,4932
464,-7705,3856
465,-8090,2765
466,-8443,1663
467,-8763,554
468,-9048,-555
469,-9297,-1664
470,-9510,-2766
471,-9685,-3857
472,-9822,-4933
473,-9921,-5991
474,-9980,-7023
475,-9999,-8028
476,-9980,-9002
477,-9921,-9940
478,-9822,-10839
479,-9685,-11695
480,-9510,-12504
481,-9297,-13265
482,-9048,-13974
483,-8763,-14627
484,-8443,-15222
485,-8090,-15757
486,-7705,-16230
487,-7289,-16638
488,-6845,-16982
489,-6374,-17258
490,-5877,-17467
491,-5358,-17607
492,-4817,-17675
493,-4257,-17675
494,-3681,-17607
495,-3090,-17467
496,-2486,-17258
497,-1873,-16982
498,-1253,-16638
499,-627,-16230
