sample,sin_out,cos_out,dds_ready
0,0,32757,1
1,9512,-31113,1
2,-26319,-18868,1
3,-18868,26319,1
4,31113,9512,1
5,-32757,0,1
6,-31113,9512,1
7,18868,26319,1
8,26319,-18868,1
9,-9512,-31113,1
10,0,32757,1
11,9512,-31113,1
12,-26319,-18868,1
13,-18868,26319,1
14,31113,9512,1
15,-32757,0,1
16,-31113,9512,1
17,18868,26319,1
18,26319,-18868,1
19,-9512,-31113,1
20,0,32757,1
21,9512,-31113,1
22,-26319,-18868,1
23,-18868,26319,1
24,31113,9512,1
25,-32757,0,1
26,-31113,9512,1
27,18868,26319,1
28,26319,-18868,1
29,-9512,-31113,1
30,0,32757,1
31,9512,-31113,1
32,-26319,-18868,1
33,-18868,26319,1
34,31113,9512,1
35,-32757,0,1
36,-31113,9512,1
37,18868,26319,1
38,26319,-18868,1
39,-9512,-31113,1
40,0,32757,1
41,9512,-31113,1
42,-26319,-18868,1
43,-18868,26319,1
44,31113,9512,1
45,-32757,0,1
46,-31113,9512,1
47,18868,26319,1
48,26319,-18868,1
49,-9512,-31113,1
50,0,32757,1
51,9512,-31113,1
52,-26319,-18868,1
53,-18868,26319,1
54,31113,9512,1
55,-32757,0,1
56,-31113,9512,1
57,18868,26319,1
58,26319,-18868,1
59,-9512,-31113,1
60,0,32757,1
61,9512,-31113,1
62,-26319,-18868,1
63,-18868,26319,1
64,31113,9512,1
65,-32757,0,1
66,-31113,9512,1
67,18868,26319,1
68,26319,-18868,1
69,-9512,-31113,1
70,0,32757,1
71,9512,-31113,1
72,-26319,-18868,1
73,-18868,26319,1
74,31113,9512,1
75,-32757,0,1
76,-31113,9512,1
77,18868,26319,1
78,26319,-18868,1
79,-9512,-31113,1
80,0,32757,1
81,9512,-31113,1
82,-26319,-18868,1
83,-18868,26319,1
84,31113,9512,1
85,-32757,0,1
86,-31113,9512,1
87,18868,26319,1
88,26319,-18868,1
89,-9512,-31113,1
90,0,32757,1
91,9512,-31113,1
92,-26319,-18868,1
93,-18868,26319,1
94,31113,9512,1
95,-32757,0,1
96,-31113,9512,1
97,18868,26319,1
98,26319,-18868,1
99,-9512,-31113,1
