sample,sin_out,cos_out
0,22594,23170
1,26319,18868
2,28898,14732
3,31113,9512
4,32285,4808
5,32757,0
6,4808,-32285
7,9512,-31113
8,14732,-28898
9,18868,-26319
10,22594,-23170
11,26319,-18868
12,28898,-14732
13,31113,-9512
14,32285,-4808
15,32757,0
16,-32285,-4808
17,-31113,-9512
18,-28898,-14732
19,-26319,-18868
20,-23170,-22594
21,-18868,-26319
22,-14732,-28898
23,-9512,-31113
24,-4808,-32285
25,0,-32757
26,-32285,4808
27,-31113,9512
28,-28898,14732
29,-26319,18868
30,-23170,22594
31,-18868,26319
32,-14732,28898
33,-9512,31113
34,-4808,32285
35,0,32757
36,4808,32285
37,9512,31113
38,14732,28898
39,18868,26319
40,22594,23170
41,26319,18868
42,28898,14732
43,31113,9512
44,32285,4808
45,32757,0
46,4808,-32285
47,9512,-31113
48,14732,-28898
49,18868,-26319
50,22594,-23170
51,26319,-18868
52,28898,-14732
53,31113,-9512
54,32285,-4808
55,32757,0
56,-32285,-4808
57,-31113,-9512
58,-28898,-14732
59,-26319,-18868
60,-23170,-22594
61,-18868,-26319
62,-14732,-28898
63,-9512,-31113
64,-4808,-32285
65,0,-32757
66,-32285,4808
67,-31113,9512
68,-28898,14732
69,-26319,18868
70,-23170,22594
71,-18868,26319
72,-14732,28898
73,-9512,31113
74,-4808,32285
75,0,32757
76,4808,32285
77,9512,31113
78,14732,28898
79,18868,26319
80,22594,23170
81,26319,18868
82,28898,14732
83,31113,9512
84,32285,4808
85,32757,0
86,4808,-32285
87,9512,-31113
88,14732,-28898
89,18868,-26319
90,22594,-23170
91,26319,-18868
92,28898,-14732
93,31113,-9512
94,32285,-4808
95,32757,0
96,-32285,-4808
97,-31113,-9512
98,-28898,-14732
99,-26319,-18868
100,-23170,-22594
101,-18868,-26319
102,-14732,-28898
103,-9512,-31113
104,-4808,-32285
105,0,-32757
106,-32285,4808
107,-31113,9512
108,-28898,14732
109,-26319,18868
110,-23170,22594
111,-18868,26319
112,-14732,28898
113,-9512,31113
114,-4808,32285
115,0,32757
116,4808,32285
117,9512,31113
118,14732,28898
119,18868,26319
120,22594,23170
121,26319,18868
122,28898,14732
123,31113,9512
124,32285,4808
125,32757,0
126,4808,-32285
127,9512,-31113
128,14732,-28898
129,18868,-26319
130,22594,-23170
131,26319,-18868
132,28898,-14732
133,31113,-9512
134,32285,-4808
135,32757,0
136,-32285,-4808
137,-31113,-9512
138,-28898,-14732
139,-26319,-18868
140,-23170,-22594
141,-18868,-26319
142,-14732,-28898
143,-9512,-31113
144,-4808,-32285
145,0,-32757
146,-32285,4808
147,-31113,9512
148,-28898,14732
149,-26319,18868
150,-23170,22594
151,-18868,26319
152,-14732,28898
153,-9512,31113
154,-4808,32285
155,0,32757
156,4808,32285
157,9512,31113
158,14732,28898
159,18868,26319
160,22594,23170
161,26319,18868
162,28898,14732
163,31113,9512
164,32285,4808
165,32757,0
166,4808,-32285
167,9512,-31113
168,14732,-28898
169,18868,-26319
170,22594,-23170
171,26319,-18868
172,28898,-14732
173,31113,-9512
174,32285,-4808
175,32757,0
176,-32285,-4808
177,-31113,-9512
178,-28898,-14732
179,-26319,-18868
180,-23170,-22594
181,-18868,-26319
182,-14732,-28898
183,-9512,-31113
184,-4808,-32285
185,0,-32757
186,-32285,4808
187,-31113,9512
188,-28898,14732
189,-26319,18868
190,-23170,22594
191,-18868,26319
192,-14732,28898
193,-9512,31113
194,-4808,32285
195,0,32757
196,4808,32285
197,9512,31113
198,14732,28898
199,18868,26319
